Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,58.18,58.82,57.98,58.18,3897200,47.548202
2010-01-05,58.25,59.0,58.119999,58.279999,5966300,47.629927
2010-01-06,58.209999,58.27,57.810001,57.849998,5770200,47.278505
2010-01-07,57.959999,57.959999,57.189999,57.41,5747000,46.918912
2010-01-08,59.77,61.130001,59.52,60.169998,13779300,49.174549
2010-01-11,60.549999,63.380001,60.5,62.82,13744900,51.34029
2010-01-12,62.52,62.939999,62.099998,62.400002,5662500,50.997042
2010-01-13,63.130001,63.220001,61.93,62.07,5822600,50.727344
2010-01-14,61.860001,62.360001,61.830002,62.200001,4698000,50.833589
2010-01-15,62.200001,62.400002,61.720001,61.93,6066300,50.612928
2010-01-19,62.009998,62.779999,62.0,62.25,3525000,50.874452
2010-01-20,62.16,62.209999,60.669998,61.16,5261100,49.983638
2010-01-21,61.07,61.32,59.529999,59.700001,6344200,48.790438
2010-01-22,59.490002,59.549999,58.599998,58.75,5623300,48.014041
2010-01-25,59.110001,59.52,58.259998,58.75,3520500,48.014041
2010-01-26,58.490002,59.200001,57.889999,58.639999,3285800,47.924141
2010-01-27,58.650002,59.5,58.119999,59.34,5247300,48.496224
2010-01-28,59.509998,59.650002,58.060001,58.959999,5711600,48.185664
2010-01-29,59.130001,59.790001,57.709999,57.77,6565200,47.213126
2010-02-01,57.950001,58.529999,57.450001,58.389999,6331100,47.719826
2010-02-02,59.740002,59.950001,58.299999,58.619999,7843800,47.907796
2010-02-03,58.73,59.299999,58.25,58.869999,4745400,48.112111
2010-02-04,58.43,58.630001,57.240002,57.290001,7259900,46.820841
2010-02-05,57.18,57.73,56.23,57.200001,5799400,46.747288
2010-02-08,57.169998,57.400002,56.490002,56.619999,3485100,46.273275
2010-02-09,57.349998,58.18,56.900002,57.41,5253000,46.918912
2010-02-10,57.450001,57.450001,56.57,57.07,4704000,46.641043
2010-02-11,56.810001,57.150002,56.360001,56.720001,6647300,46.739928
2010-02-12,56.259998,56.419998,55.77,56.150002,6148400,46.270222
2010-02-16,56.939999,57.490002,56.470001,57.330002,5065200,47.242597
2010-02-17,57.509998,57.599998,57.139999,57.509998,4489000,47.390923
2010-02-18,57.310001,57.610001,56.93,57.169998,4332500,47.110747
2010-02-19,56.950001,58.16,56.779999,57.810001,4886100,47.638139
2010-02-22,58.07,58.220001,57.669998,57.950001,2916300,47.753505
2010-02-23,57.950001,58.52,57.5,58.400002,5622400,48.124327
2010-02-24,58.43,58.950001,58.259998,58.759998,4748300,48.420981
2010-02-25,57.98,58.419998,57.450001,58.419998,4441400,48.140805
2010-02-26,58.419998,58.950001,57.900002,58.740002,3895100,48.404503
2010-03-01,58.799999,59.540001,58.73,58.849998,3944600,48.495145
2010-03-02,59.18,59.59,59.009998,59.16,6304900,48.750601
2010-03-03,59.939999,60.0,59.130001,59.18,6077200,48.767082
2010-03-04,59.330002,59.68,58.91,59.200001,4370400,48.783564
2010-03-05,59.560001,59.709999,59.220001,59.490002,5400400,49.022538
2010-03-08,59.669998,59.889999,59.459999,59.799999,4076700,49.27799
2010-03-09,59.68,60.43,59.43,60.290001,5471000,49.681775
2010-03-10,60.23,61.029999,60.080002,60.73,6309500,50.044354
2010-03-11,60.59,62.490002,60.450001,62.470001,10353600,51.478197
2010-03-12,62.5,62.529999,62.0,62.32,5878800,51.354588
2010-03-15,62.23,62.799999,62.02,62.700001,4937900,51.667727
2010-03-16,62.759998,62.950001,62.299999,62.48,5827100,51.486436
2010-03-17,62.5,63.220001,62.5,62.880001,5771400,51.816056
2010-03-18,62.959999,64.489998,62.5,64.419998,7749200,53.085085
2010-03-19,64.330002,64.940002,64.019997,64.330002,7976500,53.010924
2010-03-22,64.010002,64.650002,63.849998,63.959999,3829600,52.706024
2010-03-23,64.080002,64.709999,63.700001,64.620003,4073400,53.249898
2010-03-24,64.540001,64.599998,63.540001,63.77,4127800,52.549457
2010-03-25,64.040001,64.489998,63.540001,63.650002,4120000,52.450572
2010-03-26,63.720001,64.269997,63.450001,63.669998,2906000,52.46705
2010-03-29,63.799999,64.57,63.720001,64.129997,3226100,52.846111
2010-03-30,64.300003,64.949997,64.160004,64.529999,3493100,53.175731
2010-03-31,64.360001,64.599998,63.860001,64.410004,3177900,53.076849
2010-04-01,64.709999,64.940002,63.709999,64.150002,3573900,52.862595
2010-04-05,64.419998,64.620003,64.010002,64.18,3827300,52.887316
2010-04-06,63.959999,64.449997,63.77,64.220001,3543000,52.920278
2010-04-07,64.019997,64.099998,63.25,63.669998,4836600,52.46705
2010-04-08,63.639999,64.389999,63.029999,64.269997,4319600,52.961477
2010-04-09,64.279999,64.599998,63.990002,64.440002,2790700,53.10157
2010-04-12,64.809998,64.989998,64.660004,64.760002,3687800,53.365264
2010-04-13,64.389999,65.169998,64.239998,64.879997,4793600,53.464146
2010-04-14,64.900002,65.519997,64.769997,65.449997,6098900,53.933852
2010-04-15,68.5,69.739998,68.379997,68.889999,15257900,56.768575
2010-04-16,68.900002,69.540001,68.0,68.209999,8515500,56.208223
2010-04-19,68.110001,68.550003,67.730003,68.290001,5006500,56.274148
2010-04-20,68.800003,69.059998,67.610001,68.059998,5222600,56.084614
2010-04-21,68.25,68.870003,68.080002,68.120003,3890900,56.134062
2010-04-22,67.93,68.360001,67.139999,68.260002,4666300,56.249428
2010-04-23,68.440002,68.900002,67.75,68.860001,4269300,56.743854
2010-04-26,68.959999,69.449997,68.470001,68.519997,6395400,56.463675
2010-04-27,68.410004,68.470001,65.730003,66.220001,8133600,54.568372
2010-04-28,66.93,68.379997,66.620003,68.309998,7691300,56.290626
2010-04-29,68.699997,69.949997,68.550003,69.699997,5838400,57.43605
2010-04-30,69.75,70.309998,68.959999,69.139999,7025900,56.974586
2010-05-03,69.489998,70.889999,69.150002,70.699997,5424700,58.260097
2010-05-04,69.980003,69.980003,68.110001,68.940002,6279200,56.80978
2010-05-05,67.93,68.290001,66.660004,67.18,8384200,55.359456
2010-05-06,66.839996,67.440002,61.25,65.0,11149400,53.563034
2010-05-07,64.650002,65.129997,62.959999,63.93,8678000,52.681304
2010-05-10,66.0,67.900002,65.730003,67.480003,7940600,55.606672
2010-05-11,66.879997,68.040001,66.510002,66.989998,4941200,55.202885
2010-05-12,67.290001,68.690002,66.93,68.230003,4184400,56.224707
2010-05-13,67.739998,67.989998,66.699997,66.790001,3586500,55.419835
2010-05-14,66.279999,66.68,65.18,65.75,4656400,54.556882
2010-05-17,65.910004,66.480003,64.489998,65.550003,4882700,54.390932
2010-05-18,66.150002,66.639999,64.870003,65.290001,4282200,54.175192
2010-05-19,64.720001,65.480003,64.139999,65.129997,5304000,54.042427
2010-05-20,64.120003,64.919998,63.220001,63.43,7218400,52.631833
2010-05-21,62.529999,63.450001,61.5,62.380001,13071700,51.760583
2010-05-24,62.049999,63.0,61.630001,61.650002,6607100,51.154857
2010-05-25,60.25,62.049999,59.529999,61.970001,7427100,51.420381
2010-05-26,62.5,62.970001,61.560001,61.959999,5863000,51.412081
2010-05-27,63.080002,63.619999,62.139999,63.57,4861100,52.747999
2010-05-28,63.25,63.41,62.029999,62.759998,4276800,52.075891
2010-06-01,62.110001,62.509998,61.099998,61.169998,5406500,50.756568
2010-06-02,61.57,62.650002,60.919998,62.59,4652600,51.934832
2010-06-03,62.75,63.349998,62.259998,63.009998,3619700,52.283331
2010-06-04,61.82,62.040001,60.09,60.560001,5186400,50.250416
2010-06-07,60.560001,60.580002,58.330002,58.450001,7057100,48.499616
2010-06-08,58.419998,59.09,57.509998,58.970001,7424300,48.931093
2010-06-09,59.209999,59.98,58.380001,58.619999,5420700,48.640674
2010-06-10,59.799999,61.0,59.5,60.84,6315700,50.482748
2010-06-11,60.43,61.349998,60.139999,61.200001,4411200,50.781463
2010-06-14,61.700001,62.509998,61.029999,61.080002,3873300,50.681893
2010-06-15,61.599998,62.759998,61.400002,62.66,4834900,51.992916
2010-06-16,62.32,63.490002,62.200001,62.41,8791700,51.785475
2010-06-17,62.919998,62.919998,61.389999,62.200001,5598500,51.611226
2010-06-18,62.259998,62.529999,62.0,62.5,5100000,51.860154
2010-06-21,63.029999,63.439999,61.84,62.169998,5075400,51.586331
2010-06-22,62.099998,62.290001,60.110001,60.400002,6483100,50.117654
2010-06-23,60.400002,60.889999,59.639999,60.380001,3502600,50.101058
2010-06-24,60.169998,61.02,59.779999,60.09,4603500,49.860426
2010-06-25,60.139999,60.400002,59.5,60.349998,4359700,50.076163
2010-06-28,60.349998,60.580002,59.509998,59.630001,2573100,49.478736
2010-06-29,59.0,59.0,57.029999,57.540001,6077500,47.744533
2010-06-30,57.34,58.259998,56.700001,56.889999,4703900,47.205186
2010-07-01,57.459999,58.139999,56.869999,58.0,6305900,48.126223
2010-07-02,57.990002,58.25,56.470001,56.759998,4630300,47.097316
2010-07-06,57.34,58.220001,56.610001,57.200001,4749400,47.462413
2010-07-07,57.279999,59.619999,57.279999,59.470001,6372400,49.345974
2010-07-08,59.830002,60.380001,59.259998,59.959999,4122500,49.752556
2010-07-09,60.0,60.290001,59.549999,60.060001,2700000,49.835534
2010-07-12,60.389999,60.5,59.439999,60.02,3555100,49.802343
2010-07-13,60.689999,61.650002,60.66,61.299999,5123400,50.864438
2010-07-14,61.25,62.34,61.25,61.759998,4290000,51.246128
2010-07-15,61.810001,61.849998,60.419998,61.34,3607000,50.897629
2010-07-16,60.990002,61.290001,59.450001,59.68,6274700,49.520224
2010-07-19,59.849998,60.639999,59.23,60.459999,4435000,50.167437
2010-07-20,59.860001,60.950001,59.27,60.880001,3071100,50.515939
2010-07-21,61.439999,61.439999,59.369999,60.009998,4417600,49.794044
2010-07-22,63.0,64.309998,62.599998,63.150002,11500700,52.399501
2010-07-23,63.360001,64.0,62.900002,63.669998,4716200,52.830974
2010-07-26,64.720001,65.0,64.169998,64.879997,4998000,53.834986
2010-07-27,65.059998,65.25,64.550003,64.660004,4474000,53.652444
